site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,GPP_Rhat,ER_Rhat,K600_Rhat,msgs.fit,warnings,errors,DO_fit
DL,2021-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-06-19,11.115852460031707,9.881987961451303,12.202021959050843,-8.441975600820316,-9.599820030954357,-7.180054179443557,7.833064614214145,6.830101687158471,8.766297514470137,1.0038934169505145,1.0065266904438428,1.0028639430907842,w      ,,,NA
DL,2021-06-20,9.49678814328892,8.452661148011437,10.497422030503154,-7.8770204973466935,-9.067821499466026,-6.623173701279713,6.852280302496506,5.9293600342532695,7.7843721269082655,1.0170644040781673,1.0181187339931947,1.006252768026975,w      ,,,NA
DL,2021-06-21,14.842261107198084,13.70608358627459,16.016348324212,-10.395892897888192,-11.501866713814518,-9.266011557077078,7.455630933098792,6.803820563470739,8.162165371339615,1.0030073677013185,1.003957884813123,1.0041527606710494,w      ,,,NA
DL,2021-06-22,16.09440578997048,14.94783974061879,17.254269586152134,-11.917277319167917,-13.042842798023097,-10.78567816032832,6.750274165018257,6.175309855579135,7.328555244751938,1.002574262386472,1.0032639600094149,1.001439871249729,w      ,,,NA
DL,2021-06-23,9.974159560595197,9.000444580627944,11.021579134210567,-7.920858514568995,-9.122139436377827,-6.757206679954151,6.09805160981276,5.373633798346079,6.84152892104758,1.010093168727675,1.0062189213882682,1.00700243158114,w      ,,,NA
DL,2021-06-24,14.767308440660502,13.177072135288519,16.510788534534232,-13.047248829342653,-14.727436776006794,-11.440908363054998,10.210355257392017,9.097726652591895,11.508729294569886,1.009792863182407,1.0094672568725545,1.0094558935408648,w      ,,,NA
DL,2021-06-25,14.328429733551742,13.126247753976521,15.489872771773737,-11.540731237092308,-12.71897722837924,-10.316373646100837,7.417583858186355,6.67366728426554,8.115618554414837,1.0119856513122139,1.0085366705299732,1.009529380746576,w      ,,,NA
DL,2021-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
