site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,light,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q
GR,2021-10-09,7.445304018543336,5.9692821866435075,8.92310851493281,-8.461034143670851,-10.307561324718362,-6.663063188441551,23.402785257313724,18.81042261740182,27.911944658462755,0.480883461558448,NA,21.347520454437944,12.761542406815227,60.107651102496945,53.035531329116246,2.9413698707878244,25.774938201336973,6.426559557062225,39.121136377080695,NA
GR,2021-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34577977690578626,NA,21.593553762563193,12.316669175393193,61.00331816415297,52.816641701460945,3.017695636155509,26.148318435942898,6.607685987114788,40.010668084938104,NA
GR,2021-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3832503742823741,NA,21.84258925703708,11.87204450926624,61.89926202374156,52.51325214321982,3.1048287118234383,26.536339555122748,6.813624796175984,40.979374967114346,NA
GR,2021-10-12,4.415755046043653,3.489121383758542,5.311028933191783,-5.611409439631245,-6.967596213037164,-4.242795236756556,17.67479913929664,14.15865453912106,21.20228217069218,0.196100444361038,NA,22.09457291966528,11.42758338809164,62.79522168473615,52.11239237479414,3.203597037420008,26.938814963170262,7.045161049526443,42.03719087927314,NA
GR,2021-10-13,5.699833455346523,4.462315836950436,6.9285316763401354,-7.06639698261869,-8.72686480972044,-5.502945771271871,23.645918280831,18.723218551392296,28.83401456611349,0.4347699521012147,NA,22.34945073225319,10.983200791526755,63.69093615061029,51.60109211658192,3.3148114850693804,27.35556569959107,7.302900248683401,43.198079554844035,NA
GR,2021-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29817381725168995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GC,2020-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.388820697927176,111.5632165251414,32.71774705496691,173.44670028087535,3.7187978150166296,20.723975175946848,8.2504587931187,35.755237306890066,NA
GC,2020-07-14,8.247516475502918,7.349364897374858,9.147116972522513,-6.745591736828161,-7.671991105603232,-5.780144205953326,7.908226714078182,6.995372079899124,8.853256845637363,NA,NA,17.255386075091298,110.86032186611882,32.4894274862157,177.24743724161004,3.5665350353225596,20.27705692868526,7.912662847764096,34.19098950643687,NA
GC,2020-07-15,8.85290211281478,7.909837085361224,9.745422409108974,-7.062763939272836,-8.005078185670376,-6.079134852529303,7.856200710880299,6.977626272864013,8.788047985583054,NA,30.3030303030303,17.105321333081488,110.15666857903588,32.25562735556815,180.55615813362675,3.423147007630398,19.84230561480072,7.593822312563098,32.74187622900597,3.4112477175156566
GC,2020-07-16,9.513408389363011,8.530439479197854,10.427504644192211,-7.237299702781749,-8.140646591053486,-6.283590411704052,7.724032018721728,6.8369628342259245,8.611746932874546,NA,27.952421410365332,16.937511504135983,109.45218332379542,32.016072758018424,183.32439390607905,3.2891609488413467,19.42000924040764,7.29473269165133,31.419793490388813,3.3305038294931864
GC,2020-07-17,7.707408835378387,6.785324226592422,8.713572960248232,-6.876358648637545,-7.958650046084015,-5.792494169950579,9.233190524718603,8.05609345911846,10.453430269493682,NA,26.621353724157466,16.750841620493066,108.7467927603004,31.77048978856064,185.5036755081153,3.1648171946746215,19.010356608838897,7.015786118151393,30.229674284203497,3.2817136653237546
GC,2020-07-18,8.12107626586155,7.271830164203029,8.979096819202068,-6.3557822999236695,-7.265823633946911,-5.407627577160534,7.053209667674271,6.271724386713104,7.92570098659513,NA,25.885018408382894,16.544196714391024,108.04042354845362,31.518604542188992,187.04553388888704,3.0500402159014097,18.613439459344963,6.756925921536972,29.16891156232091,3.253664361513855
