site,date,GPP,ER,NEP
GC,2021-08-22,10.037331299061035,-7.580128369468617,2.4572029295924187
GC,2021-08-23,10.358494167172651,-7.308207394252671,3.0502867729199803
GC,2021-08-24,9.68641455794615,-6.884705065067015,2.8017094928791355
GC,2021-08-25,10.342942351041827,-8.351936824767318,1.9910055262745097
GC,2021-08-26,9.722253245664035,-6.9200046988308666,2.8022485468331686
GC,2021-08-27,8.388706081485926,-6.623635407021568,1.7650706744643587
GC,2021-08-28,9.323590894875828,-7.245501503371462,2.078089391504366
GC,2021-08-29,8.733771190661203,-6.809487121193404,1.9242840694677996
GC,2021-08-30,9.112557619200505,-7.481051167938575,1.63150645126193
GC,2021-08-31,7.928117622111872,-6.392222979045056,1.5358946430668157
GC,2021-09-01,7.165815952799115,-6.729579634608353,0.4362363181907627
GC,2021-09-02,7.641393761647887,-6.840180357695363,0.8012134039525236
GC,2021-09-03,7.421694876387896,-6.804970060826294,0.6167248155616019
GC,2021-09-04,7.967768707419776,-7.131105416495491,0.8366632909242844
GC,2021-09-05,8.192358401645018,-7.289431503132762,0.9029268985122565
GC,2021-09-06,8.064865949741996,-7.36672773815133,0.698138211590666
GC,2021-09-07,8.62804447375929,-7.953460083937677,0.6745843898216135
GC,2021-09-08,9.150351314455811,-8.620717198270231,0.52963411618558
GC,2021-09-09,8.929942754169302,-7.847768185733118,1.0821745684361836
GC,2021-09-10,8.712010044013631,-8.32785276999459,0.38415727401904043
GC,2021-09-11,9.011208230475912,-7.431789945979285,1.5794182844966267
GC,2021-09-12,8.234950596543598,-7.334937138397464,0.9000134581461339
GC,2021-09-13,8.565904322829194,-9.414989643450086,-0.8490853206208921
GC,2021-09-14,7.968324164728716,-7.589257888118156,0.37906627661056014
GC,2021-09-15,7.716281836571689,-7.479842195149099,0.23643964142258955
GC,2021-09-16,7.1625880662108274,-6.755771948178203,0.40681611803262463
GC,2021-09-17,7.19020736587659,-6.70009604683973,0.49011131903686067
GC,2021-09-18,8.13836490559756,-7.533306100740537,0.6050588048570233
GC,2021-09-19,6.64180214186101,-7.06358613780914,-0.42178399594812976
GC,2021-09-20,6.98627944683117,-6.658894862310184,0.32738458452098573
GC,2021-09-21,7.311928586619548,-7.109188109981966,0.20274047663758132
GC,2021-09-22,8.83857209173718,-8.10939688075719,0.7291752109799905
GC,2021-09-23,9.302956988513648,-8.01181697181427,1.2911400166993783
GC,2021-09-24,8.588965012258495,-8.093130849769398,0.4958341624890963
GC,2021-09-25,7.195095358140667,-7.567253484488071,-0.3721581263474043
GC,2021-09-26,7.796289737573388,-7.850950802714332,-0.05466106514094449
GC,2021-09-27,7.62563721932878,-7.664962769027237,-0.039325549698456364
GC,2021-09-28,5.546407097865582,-6.220534474285573,-0.6741273764199915
GC,2021-09-29,6.221330272306778,-6.628931280064845,-0.40760100775806674
GC,2021-09-30,6.063596978348652,-6.814505186427873,-0.7509082080792204
