site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,light,mean_PAR_umolm2s,light_hrs,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q,year
GC,2020-09-02,8.826321152928122,8.625672547423646,9.026969758432598,-9.45783088664376,-9.758452663828294,-9.157209109459227,17.748211788982914,0.6670319520138566,831.7995060000001,14,8.722741433021806,13.608654953451596,53.21555691558363,26.530853690975597,49.97427301728861,2.8105059678626696,19.904551798051312,5.27414513792785,18.438746848846115,2.1659335730332794,2020
GC,2020-09-03,9.443428544371978,9.221530622813123,9.66532646593083,-9.587488602884507,-9.919765535077502,-9.255211670691512,17.748211788982914,0.6796196447149951,847.4965599999999,14,8.43953554233928,13.765763478982356,52.80800794386191,27.00532063656763,49.7207995373127,2.87106511384815,20.14918701025292,5.428009321845242,18.670167048679694,2.1329272765651095,2020
GC,2020-09-04,9.644756048087912,9.39949407865342,9.890018017522404,-9.842640613868998,-10.213782550456814,-9.4714986772811809,17.748211788982914,0.6770888832488293,985.0641033333333,12,8.241291418861511,13.9206076249939,52.573055433207415,27.50714709072441,49.82590289055596,2.9325035569373754,20.481259264792,5.590865783532921,19.054111777333706,2.1091570572311973,2020
GC,2020-09-05,9.334164448720326,9.146445006246116,9.521883891194538,-9.583907138882669,-9.86748349485553,-9.300330782909809,17.748211788982914,0.6145052107046609,894.0141233333334,12,8.184650240725006,14.072844848006495,52.49530967764795,28.035768918292707,50.26541400393389,2.9953789558912396,20.90069319931509,5.763399343389078,19.59295681101236,2.102260478172137,2020
GC,2020-09-06,9.669876472495128,9.458402312098348,9.881350632891907,-9.623192333402391,-9.943186364112814,-9.303198302691971,17.748211788982914,0.6606377228280982,961.1301,12,8.09968847352025,14.222123947320483,52.56093337578726,28.59057005614955,51.02111117778156,3.0597112741733743,21.401200091143053,5.945524443643397,20.285014203325694,2.0918256008795577,2020
GC,2020-09-07,4.052606675186347,3.6939301145471064,4.411283235825588,-7.023613350283863,-7.562050090246812,-6.485176610320915,17.748211788982914,0.27457308839114286,399.46320166666663,12,8.241291418861511,14.368085658962467,52.75725947729986,29.170870742032992,52.079319332116505,3.1248876287533847,21.96988874895911,6.136221401417126,21.12339578253697,2.1091570572311973,2020
GC,2020-09-08,7.007990758681158,6.797194079913668,7.218787437448649,-7.10066719665167,-7.419248972833098,-6.782085420470241,17.748211788982914,0.6715732763213723,977.0397116666667,12,8.722741433021806,14.510363324433005,53.07245792339963,29.775915732279547,53.42971212181926,3.189656053713703,22.58761839641041,6.333482668872708,22.095352722308352,2.1659335730332794,2020
GC,2020-09-09,8.012339117558637,7.795651447555669,8.229026787561606,-8.31152051754203,-8.642147894340958,-7.980893140743103,17.748211788982914,0.6591495382147403,958.9650116666667,12,9.147550269045595,14.648505839368925,53.492845719160826,30.404799879318137,55.060699457727054,3.252379775015301,23.231013793907913,6.534670345912835,23.182719302106133,2.2134861132823613,2020
GC,2020-09-10,8.78002285062785,8.571092517408788,8.988953183846911,-8.859573224001705,-9.177838011429335,-8.541308436574075,17.748211788982914,0.6520512972029395,948.6381216666667,12,9.232512036250354,14.781739671309714,53.995256223246585,31.05625819191773,56.94685427238382,3.31176664257014,23.87734519905246,6.737679447841119,24.364492534195705,2.2227311714264126,2020
GC,2020-09-11,8.978951271150635,8.766225170338082,9.191677371963188,-9.043116456850894,-9.367733763802502,-8.718499149899287,17.748211788982914,0.647430538468543,941.9156016666667,12,9.034267912772584,14.909194396264295,54.55359720108998,31.728823082550353,59.05654832997829,3.3665391576307027,24.502509579335296,6.9403223752543655,25.6150684618259,2.2010248928445493,2020
GC,2020-09-12,9.308391938755864,9.11104259821794,9.505741279293789,-9.37441375121318,-9.676790350014954,-9.072037152411404,17.748211788982914,0.6333764571858127,921.4689936666667,12,8.779382611158312,15.02998185699192,55.1408726824007,32.42087078648329,61.35354549587299,3.415310575276608,25.08020013996636,7.140075508895769,26.902785281389743,2.1724060875388966,2020
GC,2020-09-13,7.750077822273427,7.671291419376786,7.828864225170069,-8.69370586386228,-8.814829159822962,-8.5725825679016,17.748211788982914,0.6377327574014481,927.8067656666667,12,8.694420843953553,15.143199417607628,55.728970310502376,33.13060818760736,63.795416074208426,3.4566453419136858,25.58244322239617,7.3341397856795485,28.189520921614324,2.162681537646902,2020
GC,2020-09-14,5.897729394771578,5.6820287253575845,6.113430064185572,-7.21154812218917,-7.5448891321727025,-6.878207112205638,17.748211788982914,0.6155933170460467,895.5971569999998,12,8.6661002548853,15.24793369473049,56.28858633431693,33.85606044570161,66.33219227409133,3.489151937983737,25.980623856193027,7.5195604579021555,29.431049269162138,2.1594188920120856,2020
GC,2020-09-15,7.156007683986644,7.0308163780969855,7.2811989898763025,-7.738232661145845,-7.93127135449164,-7.545193967800049,17.748211788982914,0.5314008164309143,773.1095306666666,12,8.779382611158312,15.343324460445784,56.7887397011715,34.59507947728423,68.90670452716746,3.5119408714786147,26.250477960733445,7.693968798834535,30.583358966650582,2.1724060875388966,2020
GC,2020-09-16,7.607957239000267,7.448169433043722,7.767745044956811,-7.909738457160871,-8.156859435808228,-7.662617478513514,17.748211788982914,0.5973807950804904,869.1006333333333,12,8.694420843953553,15.42875094413751,57.19529493115926,35.34539667377143,71.45845372805506,3.5257022525490274,26.383812005211663,7.85744853948612,31.620388127868043,2.162681537646902,2020
