date,site,sample,average.depth,cobble,sand,gravel,pebble,cpom.om.area.g.m2,epil.om.area.g.m2,epip.om.area.g.m2,fbom.area.g.m2,fila.om.area.g.m2,macro.om.area.g.m2,epil.chla.mg.m2.ritchie,epip.chla.mg.m2.ritchie,fbom.chla.mg.m2.ritchie,fila.chla.mg.m2.ritchie,total.chla.mg.m2.ritchie,phicocyanin.mg.m2,epip.phicocyanin.mg.m2,fbom.phicocyanin.mg.m2,total.algal.biomass.g.m2,year
2020-09-14,DL,1,24.875,0,0,0,1,NA,6.108978379,NA,2.71e-7,8.881700491,NA,17.38552957,NA,15.96628785,18.24242114,51.59423856,NA,NA,NA,15,2020
2020-09-14,DL,2,21.25,0,0,0,1,NA,3.898638929,NA,2.31e-7,3.749072911,NA,17.29437445,NA,16.91866273,9.826539781,44.03957696,NA,NA,NA,7.65,2020
2020-09-14,DL,3,27.25,0,0,0,1,NA,2.210924041,NA,5.89e-7,1.718245639,NA,6.359790758,NA,35.80837376,4.763494758,46.93165928,NA,NA,NA,3.93,2020
2020-09-14,DL,4,24.875,0,0,0,1,NA,3.703970049,NA,2.09e-7,6.015839892,NA,9.149376085,NA,13.68117289,11.32255084,34.15309981,NA,NA,NA,9.72,2020
2020-09-14,DL,5,24,0,0,0,1,NA,2.003511072,NA,3.13e-7,13.23337322,NA,8.257353239,NA,30.94654933,35.70029882,74.90420139,NA,NA,NA,15.2,2020
2020-09-21,DL,1,31.5,0,0,0,1,NA,3.255003982,NA,3.97e-7,7.834648418,NA,13.55027642,NA,25.3954512,23.04297524,61.98870286,13.56929785,NA,NA,11.1,2020
2020-09-21,DL,2,22.625,0,0,0,1,NA,9.938050951,NA,2.92e-7,16.44246176,NA,13.66598164,NA,26.55176889,45.20094339,85.41869393,24.01500783,NA,NA,26.4,2020
2020-09-21,DL,3,19.5,0,0,0,1,NA,4.134229196,NA,2.96e-7,2.907359198,NA,12.38078532,NA,23.404225,9.196880767,44.98189108,12.96716888,NA,NA,7.04,2020
2020-09-21,DL,4,24.875,0,0,0,1,NA,14.71299214,NA,2.54e-7,14.25587252,NA,19.39904426,NA,22.89751005,37.90079328,80.19734759,31.39582289,NA,NA,29,2020
2020-09-21,DL,5,22.25,0,0,0,1,NA,5.083020766,NA,5.16e-7,28.19199379,NA,16.57340297,NA,28.54215315,73.33492568,118.4504818,16.13378267,NA,NA,33.3,2020
