doy,site,phicocyanin.mg.m2_mean,phicocyanin.mg.m2_se,filamentous_chla.mgm2_mean,filamentous_chla.mgm2_se,filamentous_gm2_mean,filamentous_gm2_se,epilitheon_chla.mgm2_mean,epilitheon_chla.mgm2_se,epilitheon_gm2_mean,epilitheon_gm2_se,year
281,BM,27.358891727972576,6.223546548213632,5.892962715789354,11.837664387216849,-1.531331821613525,13.295947930867499,45.62301726566674,6.689514731428354,12.11020595034352,2.232675721780485,2020
282,BM,26.67483937054114,6.276367585914503,5.452331679269219,11.842219253297063,-1.6049039020524587,13.322525490537778,44.99667832554674,6.684869979851568,11.824259130382634,2.247800201214187,2020
283,BM,25.98252742656146,6.340069637817749,4.991081337916313,11.88563650659803,-1.6779841578060735,13.39496435667794,44.34695124786578,6.690538239088876,11.534168165540244,2.269072444447195,2020
284,BM,25.282606589989708,6.416449383271123,4.511667363146418,11.97424473903185,-1.750582304906127,13.521724625438127,43.676425312697454,6.710803262758986,11.240311374614574,2.297339379961554,2020
285,BM,24.57572755478209,6.5073280082136735,4.016545426375343,12.114347530762496,-1.8227080593843912,13.711214839446601,42.987689800115405,6.750454043649559,10.943067076403864,2.333423899753866,2020
286,BM,23.86254101489475,6.614457754979321,3.5081711990188045,12.311796671407196,-1.8943711372726053,13.971194883652458,42.28333399019308,6.814516547121723,10.642813589706321,2.378075261284541,2020
287,BM,23.143714014487706,6.739497856139604,2.9888320104386277,12.57178577136235,-1.9655895274831159,14.30850319551917,41.56580574730093,6.9081332099731,10.339924402660268,2.43195318696218,2020
288,BM,22.419978998536138,6.884064880326166,2.4601418217804274,12.89887331142341,-2.036414310450545,14.729148213784137,40.83698727299619,7.036613235253403,10.034753680764322,2.495647461046703,2020
289,BM,21.692084762219118,7.049362242450904,1.9235462521356415,13.295755544919448,-2.1069048394901246,15.23662164131656,40.09861935313298,7.2042365974821365,9.727650758857214,2.569515943603945,2020
290,BM,20.960780100715546,7.23602213696419,1.380490920595918,13.762818586521355,-2.177120467917034,15.831318424236741,39.352442773565144,7.413661619789873,9.418964971777603,2.6536250194477464,2020
291,BM,20.226813809204625,7.444068198041149,0.8324214462526376,14.29816533262789,-2.2471205490465422,16.510627681306506,38.60019832014698,7.665732511584815,9.109045654364262,2.747749041846489,2020
292,BM,19.490934682865173,7.6729240224605775,0.28078344819752304,14.897847754162036,-2.316964436193785,17.26929763169312,37.843626778732386,7.959494344158024,8.798242141455846,2.851392396908299,2020
