site,date,epil_gm2,fila_gm2,epil_chla_mgm2,fila_chla_mgm2,GPP,ER,NPP,light,fila_prod_gCd,fila_turnover,epil_prod_gCd,epil_turnover
GR,2021-09-17,14.939383871017224,1.8374319478857877,38.600903101330346,6.274837683773784,9.101743125634608,-6.458449507392927,6.351964743447898,0.5846380828231744,0.07583897102163117,12.114035324673024,1.7668235269175057,4.227752133536864
GR,2021-09-18,15.226107263229558,1.982843296440799,39.51671273360788,7.096426418185331,9.422438025264125,-7.594730843807416,6.575772718220667,0.5554972042416343,0.08149377123488344,12.165612576240932,1.7185860968026807,4.429835459380462
GR,2021-09-19,15.514771038887696,2.1397128387453512,40.454455580638154,8.000701307458028,8.809905727105953,-7.354636609784639,6.148295969160849,0.4349316032127254,0.07193692292872515,14.872145983123097,1.3775137208978934,5.631439746667217
GR,2021-09-20,15.80485209622876,2.3088686995638215,41.412978582624774,8.990096630218773,9.31078042269122,-6.723166406601913,6.4978486167500975,0.3134357012927348,0.05825264593305322,19.817715252087314,1.0162335692742763,7.776190717413267
GR,2021-09-21,16.09579362899416,2.4911919412989207,42.39098715386401,10.06549181210202,10.618781111126443,-7.422759991839215,7.4106819216085915,0.598498968476595,0.12453781460844181,10.001749063653696,1.9863032031217576,4.05169603605767
GR,2021-09-22,16.387004890849223,2.6876178711276046,43.387037294772114,11.22577260095073,12.064262659024749,-8.232883737337835,8.419460976655188,0.5776419013895996,0.13405337846185342,10.024431692679794,1.9621277983142504,4.175825067288689
GR,2021-09-23,16.678018024480743,2.8991159340203287,44.399692519674296,12.468053276285836,11.625194871185942,-8.162703754521525,8.113042407174705,0.536622753775301,0.1383154096319808,10.480090185663613,1.8653384946614535,4.470507114985501
GR,2021-09-24,16.968979821324574,3.126616055914705,45.42803960869468,13.789796711334134,12.360168562823858,-8.618582871798377,8.625969097392662,0.5694514685979873,0.16233696247120516,9.630018968937204,2.025299799724316,4.189251345315491
GR,2021-09-25,17.260218044288145,3.371050226306108,46.47124202945242,15.187316060160542,13.873962596862984,-9.274834986228518,9.682422372367707,0.5622777431239037,0.17653660012604902,9.547737477381864,2.0457086409879093,4.218640352409343
GR,2021-09-26,17.552089969573288,3.6333642577808702,47.528379804329006,16.654991603228318,14.76811510179932,-8.013839171143482,10.306437476751928,0.5619433228624682,0.1934816434156289,9.389428872008892,2.091000476284109,4.197055469055869
PL,2021-06-22,9.20081170077873,0,19.194774728125505,0,11.51007356097627,-15.087995953753284,4.86190597352318,0.9259693643151421,0,NA,1.3915161287804991,3.3060384678552603
PL,2021-06-23,9.105216392721902,0,18.995917640798066,0,9.691700085037708,-14.206770832288797,4.093816975835494,0.9290635610155121,0,NA,1.3817017622675207,3.294928269389794
PL,2021-06-24,9.010928924839762,0,18.799062779879847,0,10.294353405964705,-15.030374033856084,4.348380403728132,0.9228594799926791,0,NA,1.3582520923202597,3.317104746530032
PL,2021-06-25,8.918309960069612,0,18.604272599334063,0.08497301427762571,10.366776553324009,-13.8688038072892,4.3789722614519055,0.8343915007949642,0.0014657291680065083,NA,1.215321476895809,3.6691155918880343
PL,2021-06-26,8.82770606445701,0.02336286821957833,18.411606568503508,0.20308973957229637,11.475869363967677,-14.58761463634149,4.847457969444435,0.9134678235665437,0.003835165157736687,NA,1.316720347535198,3.352156773828936
PL,2021-06-27,8.739450412957773,0.05461220505429198,18.221121255378407,0.33257483696110546,12.58931033909418,-14.953242780078105,5.317780361343541,0.9066633797363235,0.00623359088810238,NA,1.2933908366412157,3.378503297446076
PL,2021-06-28,8.653863614668069,0.08801568777971847,18.03287041128872,0.4749459950101784,13.755966998491743,-16.464227640403536,5.810581293616168,0.9232952472730308,0.009065414456685192,NA,1.303509103096609,3.3194488608134756
PL,2021-06-29,8.571254649382118,0.12387083277776688,17.84690505683407,0.6319707223038067,14.275761727375247,-18.008777134272442,6.03014488580143,0.9341129832503509,0.012203915772729767,NA,1.3051815569994574,3.2835487918964215
PL,2021-06-30,8.491921908306322,0.1625170057254891,17.663273568879113,0.8057120407025584,16.054183839249063,-16.295895315654636,6.781358250629972,0.9249815421430538,0.015406917418206639,NA,1.2791246507625547,3.3194270406890496
PL,2021-07-01,8.416154332782957,0.2043420126550486,17.48202176844712,0.9985837021093488,11.923154660762442,-14.515962551499532,5.036393256854632,0.8637913496459703,0.017831839992539084,NA,1.182249431581864,3.55938184783986
PL,2021-07-02,8.344232645997094,0.2497899990818605,17.303193009357397,1.21341714874052,13.72406453923137,-12.5996662665781,5.797105553741319,0.9205250124193677,0.023091309180417047,NA,1.247011482382793,3.345691985952251
PL,2021-07-03,8.27643067384441,0.29937093310819907,17.126828267458386,1.4535430008736507,16.219595911424012,-15.002264632893944,6.851229041423773,0.9638719043403667,0.028963433194223162,NA,1.292423573998976,3.2019033234730236
PL,2021-07-04,8.21301675242297,0.35367201240765966,16.952966230320406,1.7228905761889737,13.717550435687698,-14.602402265727372,5.794353967596943,0.8579916606593034,0.030559313692453356,NA,1.1387735472208282,3.606079879738514
PL,2021-07-05,8.15425522097833,0.41337141559903945,16.781643387258715,2.026109867889503,15.531684850020078,-14.40197103318561,6.56065236691564,0.8416152772538196,0.035251648932069085,5.863150067045343,1.1057493812365145,3.6872076798540725
PL,2021-07-06,8.100408000578826,0.4792549203228408,16.61289411956872,2.368721596530598,17.752625871521886,-15.13634387510041,7.498787676136587,0.9628063910874387,0.04714719052369115,5.082539542648022,1.2522552706227492,3.2343277727034345
PL,2021-07-07,8.051736260328687,0.5522360393102713,16.446750790862673,2.757302484811088,12.18388855285004,-12.447242638610977,5.146528405924271,0.749011991070506,0.042694901600944996,6.467236351448205,0.964445051182898,4.174284605666845
PL,2021-07-08,8.008209951312926,0.6332866218327992,16.283265091997446,3.198960452375571,17.14611700195164,-14.264920263062946,7.2425956474465245,0.9665069268321836,0.06391704319881886,4.953973073057468,1.2321258547368346,3.2497532295608598
PL,2021-07-09,7.968643345094363,0.7231306264207799,16.12257035114183,3.69868093153675,17.263590822072057,-14.249525798558402,7.292217108573624,0.9058847258588041,0.06926640369641268,5.219923280485189,1.1434464339639545,3.484484759583221
PL,2021-07-10,7.931587935805669,0.8224461838132507,15.964815249427703,4.260453818293545,17.004950865946576,-13.63712613620202,7.182966447314462,0.9651615264803326,0.08500778458196408,4.837475696241985,1.206347713480366,3.2874385416302117
PL,2021-07-11,7.89562243654547,0.9319409767693106,15.810142469308806,4.887560626494636,16.455598990584996,-13.681981166439469,6.950917785745345,0.9564840303742246,0.0966435145606379,4.821539143139163,1.1839193357957127,3.334527191938638
PL,2021-07-12,7.859349836629447,1.0523432054388526,15.658689004462577,5.5821749092512025,16.803747430723842,-13.827060497749034,7.097977226487986,0.9503429488496368,0.10966969393435229,4.797784910700945,1.1650494579955135,3.372968324517135
PL,2021-07-13,7.821396761401204,1.184390005586275,15.510586480019663,6.3448928160323295,15.365253155771148,-14.48257889232459,6.4903508832486825,0.9349593678137308,0.12263653226321147,4.8288629160038985,1.1353494751759396,3.44448864971253
PL,2021-07-14,7.780415065480596,1.3288129433040965,15.365961482286329,7.174203735587465,17.235081334663565,-14.238164196734733,7.280174575013858,0.9494300786497689,0.1408119544431903,4.7183953541394725,1.1421715368389815,3.4059748533978067
PL,2021-07-15,7.735081614601525,1.486239061748413,15.224998040446655,8.065715929046181,14.360657262028372,-13.920814196765196,6.066005135075151,0.9211584935400614,0.1535960748618732,4.838141414371972,1.0979946220207222,3.5223677145003096
PL,2021-07-16,7.684092391466719,1.6568730609466569,15.08812030874796,9.010798412800774,17.364196213269388,-15.353224788847632,7.3347132707258185,0.9379863318479895,0.17472804518961976,4.741291128017176,1.1080012618701827,3.4675467690789574
PL,2021-07-17,7.626182649819243,1.8406085788282267,14.955799748987236,9.996345633868955,15.1894993518762,-14.123847031578196,6.4161116992417835,0.9445920657983693,0.19520385564994613,4.71458048996978,1.1060188825642272,3.4475824825605477
PL,2021-07-18,7.560140806874563,2.0370365028867727,14.82849328501438,11.004476950733244,16.75218749448463,-14.401850921192036,7.076198081405386,0.9366538800096119,0.21308426258172494,4.779884910800255,1.0873885809371615,3.476282967933545
PL,2021-07-19,7.484820053827078,2.2453807715709484,14.706644796542522,12.012298352144652,11.67749304380566,-11.689857832299497,4.932624703454853,0.712615960785925,0.17696382216587422,6.344180251334865,0.8204984313560547,4.561142208070259
PL,2021-07-20,7.399151474792249,2.4644337887269923,14.590686736993268,12.991995725994336,12.482821272000306,-12.384640278417288,5.272798908473078,0.6495253249267601,0.17445153380420217,7.063376672551873,0.7419598909793068,4.986220660139842
PL,2021-07-21,7.302356381871173,2.6925310896001493,14.48109628137157,13.912788052079948,16.360661986840945,-12.993343390640383,6.910815975520907,0.7626236178395656,0.2193447551915718,6.137669184860474,0.8646100883863153,4.222918793082841
PL,2021-07-22,7.194738464346183,2.9276888543711577,14.37860318511625,14.748481658099566,15.664129976706686,-12.0372960246593,6.616597774144388,0.9208452391179572,0.28076100855624414,5.213845165726887,1.0366017845230986,3.4703482917773534
PL,2021-07-23,7.077849851362414,3.167802162760262,14.284193228965878,15.482643169512256,15.152813726648446,-12.488736227028424,6.400615528909565,0.9342220495753759,0.2990184956963199,5.297000366789099,1.0447549475169595,3.387325357101273
