site,date,epil_gm2,epip_gm2,epi_gm2,fila_gm2,filaepip_gm2,epil_chla_mgm2,epip_chla_mgm2,epi_chla_mgm2,fila_chla_mgm2,filaepip_chla_mgm2,GPP,ER,NPP,light,NPP_light,fila_prod_gCd,fila_turnover,epip_prod_gCd,epip_turnover,epil_prod_gCd,epil_turnover
GC,2021-08-23,8.60308741147589,3.385304919202283,12.28038783438962,68.18623601668398,71.94705252531084,25.32561722090595,8.515576845658549,32.85291653407308,134.99669927421803,139.0690961874872,10.358494167172651,-7.308207394252671,6.452144655548885,0.7785976012878791,8.28687969867411,0.5458445746507291,62.45938787640646,0.08724969892890916,19.400095133626884,1.2780088683094009,3.365816789227912
GC,2021-08-24,8.708762561695611,3.567744622246629,12.48484350738508,69.96714832769109,73.83402582266585,25.310769150053808,8.966018191800886,33.00386868991329,136.81073102280624,140.5639545843616,9.68641455794615,-6.884705065067015,6.03351673639471,0.7808643381753305,7.726715693654819,0.5547898913985628,63.05733883444757,0.09213232015622866,19.362068686628152,1.2809780839693303,3.399262903355074
GC,2021-08-25,8.813854977705331,3.745067808111832,12.682644280207942,71.57565790339467,75.55648850075679,25.30800145187047,9.352175465509308,33.11688437805956,138.39456822453377,141.81634262882744,10.342942351041827,-8.351936824767318,6.442457671542023,0.7200479094998513,8.947262517596897,0.5175034216332962,69.15476778635997,0.0886157349027957,21.130941430547683,1.1810818947236539,3.731263266789629
GC,2021-08-26,8.917953647719942,3.9154200345597263,12.87301785192966,72.9932524548568,77.0950263170697,25.317078675913994,9.669142718350168,33.19757545177508,139.7771174749613,142.8725586872098,9.722253245664035,-6.9200046988308666,6.055840096691002,0.639055704753972,9.476231964821315,0.4638820661560933,78.67651907704388,0.08131365631752531,24.076029856966638,1.0486077782437162,4.252282804279963
GC,2021-08-27,9.021282531974627,4.077400909324137,13.056234595718744,74.20971294014274,78.43669840660026,25.33798560245085,9.91778575372601,33.255585177133,140.99723583676348,143.79070395100047,8.388706081485926,-6.623635407021568,5.2251943416794235,0.5845481902584848,8.938859838688174,0.428019648142439,86.68961023425585,0.0762907432230989,26.722776165651535,0.9599600791380024,4.698780047226183
GC,2021-08-28,9.124241991814651,4.229797308806853,13.232878280847666,75.2184397908138,79.57145506193265,25.370773863686622,10.102290379399117,33.30165200868507,142.09788579229289,144.633338617945,9.323590894875828,-7.245501503371462,5.807519528614766,0.6892705380231854,8.425602442359745,0.5086395408716532,73.94081048232341,0.09163183134171558,23.080392735102023,1.1334025813513078,4.025154936975794
GC,2021-08-29,9.227251087085245,4.371491083319194,13.4035901415949,76.01479897996835,80.4909301342541,25.415511015558973,10.22891316031267,33.346594620167586,143.12386772732285,145.46474412216187,8.733771190661203,-6.809487121193404,5.440130022875,0.7287440813465459,7.465076097527862,0.5416514264429709,70.16948102505528,0.09809374954761896,22.282210148349375,1.2004239576711928,3.843330111882303
GC,2021-08-30,9.330747516122171,4.5014740574974175,13.569065473681396,76.59613391379935,81.18854339173583,25.47228074100128,10.305504270722556,33.401291679170996,144.12151030191325,146.35073154230884,9.112557619200505,-7.481051167938575,5.6760701886029095,0.7294741782985406,7.781043328829047,0.5459734383868986,70.14639223119154,0.09892725857348214,22.75143434887448,1.2043106408817454,3.873895654235269
GC,2021-08-31,9.435187742377376,4.618860781007507,13.730050485241014,76.96174625259727,81.65957758454529,25.541183090006047,10.341043078930207,33.476695289454696,145.1385042411205,147.35873991435938,7.928117622111872,-6.392222979045056,4.9383009652294225,0.7299423168625753,6.765330425635737,0.550178951633586,69.94246692288318,0.099332117181709,23.24958388110358,1.2083432475947093,3.9041835840762835
GC,2021-09-01,9.541047322515585,4.722898817365704,13.887339469632083,77.11284730247779,81.90122899409235,25.622334757405152,10.345221770321244,33.583878504422806,146.22388830941605,148.55823729637024,7.165815952799115,-6.729579634608353,4.463475130296816,0.7385037743671725,6.043943558882403,0.5607946143896387,68.7531988751411,0.10053778839842248,23.488177393803753,1.2264001296961249,3.8898590645451283
