site,date,doy,epilithon_gm2,filamentous_gm2,epilithon_chla_mgm2,filamentous_chla_mgm2,NPP,NPP_chla,year,site_year,epilithon_gm2_upper,epilithon_gm2_lower,filamentous_gm2_upper,filamentous_gm2_lower,epilithon_chla_upper,epilithon_chla_lower,filamentous_chla_upper,filamentous_chla_lower,frac_fila,frac_fila_upper,frac_fila_lower,NPP_mod,NPP_upper,NPP_lower,PAR_bc_Jm2
GC,2021-09-11,254,13.623772350261836,46.449504437030434,33.81026266323243,85.64649039512169,5.498982953043486,5.498982953043486,2021,GC_2021,19.245900751674483,9.336506221509888,86.27821246963126,15.58964266782139,44.589849660658956,23.144960759716223,171.07989614211428,33.6600109929973,0.7484783407061002,0.8744662701955571,0.5152986142227088,5.426757437290034,6.360394067744845,4.477359794330497,33.9625066599096
GC,2021-09-12,255,12.931802794697292,40.069914247753196,33.048965742412015,81.453455164934,5.025280938065388,5.025280938065388,2021,GC_2021,17.719212175317995,8.72920148163488,82.28463580379196,16.27917049075939,44.94589974888611,23.268120753868363,161.679130474144,32.0687581711614,0.748350920762136,0.8711202601545849,0.5306966098884693,4.961838676516269,5.900737296317999,4.019349675972629,32.40314484463861
GC,2021-09-13,256,13.067851097406836,42.08257963565604,33.12507033676854,74.99165577549117,5.2272415245421024,5.2272415245421024,2021,GC_2021,17.41947554916829,9.005647902406597,83.66830401321371,15.982049290385397,44.50175993159176,24.17172629179662,154.3046078990621,29.896294974979654,0.7620383466673656,0.8675053987838961,0.5159179516354088,5.168648829452301,6.1184193784148055,4.2533048880668085,37.954192893483686
GC,2021-09-14,257,12.812713281640306,32.8736901445621,32.21474495485861,72.0677151565844,4.862575320141451,4.862575320141451,2021,GC_2021,17.555442340004454,8.929080645865435,69.51355325978707,13.696564703801645,42.531583668164465,22.521322040939427,145.66522144369802,28.982891787175973,0.7129589344858851,0.8576292539646925,0.4817593488925245,4.790542374712201,5.726163271132659,3.893153759083508,38.24273711145312
GC,2021-09-15,258,12.56565508263607,36.38536429565116,32.21149627109929,66.07652156945203,4.708769478512632,4.708769478512632,2021,GC_2021,17.1597359656143,8.451119079929368,70.69182406168274,13.30504438803757,42.794378511683405,22.446118683874598,136.03192386903598,24.60500166440213,0.7304757866459222,0.8644684993166512,0.48393142629889857,4.667930485407222,5.589767591323496,3.759248389043192,37.89683883662726
GC,2021-09-16,259,12.170881793716173,33.52072972941184,30.821447959649685,61.78968932631875,4.3708844217537175,4.3708844217537175,2021,GC_2021,16.692120221328718,8.202943977201162,71.63617297810643,12.71977607793095,40.75177221774599,21.479747613130392,127.09940542612357,22.861429960421383,0.7268146336637562,0.8618632748157571,0.4921892841722092,4.361293363339021,5.257611914129301,3.4166435843477294,40.83886256808687
GC,2021-09-17,260,12.056275203658013,29.942967594254757,30.980231824704017,64.52615282316894,4.387738771820047,4.387738771820047,2021,GC_2021,16.76416125173355,8.13218309729565,66.311760723047,10.368646726240536,41.20795421206328,22.04577927288571,132.7150995874544,24.619633283751593,0.6983181448584157,0.8523967842100201,0.4410790015976841,4.351140279894952,5.238003467187426,3.4167303375377736,35.97479321359952
GC,2021-09-18,261,13.30487531045287,33.042083376782664,33.57597636803302,63.72046100776003,4.966340665636222,4.966340665636222,2021,GC_2021,17.933677253154794,9.405742350780121,66.58732513986473,12.344576862309182,45.685492927751355,23.49247974664075,134.2761543402036,24.562864676606427,0.7029553541993565,0.8431833124144206,0.46022513801700937,4.895029953161842,5.807969582930527,4.0208752770079625,36.22638486921917
GC,2021-09-19,262,12.891204985992898,30.483666097965898,31.945132337547047,58.19123375427139,4.053080987748133,4.053080987748133,2021,GC_2021,17.22088456237163,9.11057762329519,65.04501076492633,11.950250441017637,43.42711000026612,22.407770436194877,118.96243339945109,21.883404462018667,0.7011227095690433,0.8441047049703981,0.468060678273459,3.9992922307001417,4.920016739880969,3.0779665964040306,28.034145228477676
GC,2021-09-20,263,13.938016729217525,30.69622378460652,33.80998024941156,61.53146196427894,4.263294177732449,4.263294177732449,2021,GC_2021,19.306732076840085,9.425868391124277,64.63954950439187,10.81332027622495,46.23724455409546,23.516710416296977,128.35353737287986,24.26303969828025,0.6837547545945013,0.8376076451650513,0.42387007063080995,4.227428804169275,5.108390188638397,3.2979440478522317,21.877364315612255
