site,date,light_hrs,LAI,PAR_inc,PAR_surface
PL,2021-08-16,14,0.780418110209248,12205.32698,12205.32698
PL,2021-08-17,14,0.7726646169826074,11483.197263999999,11483.197263999999
PL,2021-08-18,14,0.7647724655928243,9969.960126,9969.960126
PL,2021-08-19,14,0.7568803142030411,10077.780467999999,10077.780467999999
PL,2021-08-20,14,0.7489881628132581,11340.297206,11340.297206
PL,2021-08-21,14,0.7410560867265577,8997.539152,8997.539152
PL,2021-08-22,14,0.7330042365491052,13083.58828,13083.58828
PL,2021-08-23,14,0.7249523863716528,13095.439364,13095.439364
PL,2021-08-24,14,0.7169005361942004,13109.142312,13109.142312
PL,2021-08-25,14,0.7088167398886105,11832.620324,11832.620324
PL,2021-08-26,14,0.7006371051986082,9927.809079999999,9927.809079999999
PL,2021-08-27,14,0.6924574705086058,9651.526192,9651.526192
PL,2021-08-28,14,0.6842778358186035,12061.837115999999,12061.837115999999
PL,2021-08-29,14,0.6760760515063029,12391.756411999999,12391.756411999999
PL,2021-08-30,14,0.667807818327107,12275.668216,12275.668216
PL,2021-08-31,14,0.6595395851479111,12261.53824,12261.53824
PL,2021-09-01,14,0.6512713519687152,12498.120207999998,12498.120207999998
PL,2021-09-02,14,0.6429926452921655,12151.813183999999,12151.813183999999
PL,2021-09-03,14,0.634682518123554,12093.407592,12083.91996
PL,2021-09-04,14,0.6263723909549427,11510.269148,11505.931219999999
PL,2021-09-05,12,0.6180622637863313,11773.20424,11773.20424
PL,2021-09-06,12,0.6097551737720576,11518.46724,11518.46724
PL,2021-09-07,12,0.6014571952207969,11412.133039999999,11412.133039999999
PL,2021-09-08,12,0.5931592166695363,11526.098779999998,11526.098779999998
PL,2021-09-09,12,0.5848612381182757,11034.48808,11034.48808
PL,2021-09-10,12,0.5765814557727125,9789.714144,9789.714144
PL,2021-09-11,12,0.5683562620442417,10861.0978,10861.0978
PL,2021-09-12,12,0.5601310683157709,10196.464656,10196.464656
PL,2021-09-13,12,0.5519058745873,10473.724212,10473.724212
PL,2021-09-14,12,0.5437153302311575,10812.94088,10812.94088
PL,2021-09-15,12,0.5356287339919997,10570.473536,10570.473536
PL,2021-09-16,12,0.527542137752842,11002.913375999999,11002.913375999999
PL,2021-09-17,12,0.5194555415136841,10211.778472,10211.778472
PL,2021-09-18,12,0.5114208084795415,9332.954848,9332.954848
PL,2021-09-19,12,0.5035416650604447,7964.761363999999,7964.761363999999
PL,2021-09-20,12,0.495662521641348,5316.553564,5316.553564
PL,2021-09-21,12,0.4877833782222512,10233.311676,10233.311676
PL,2021-09-22,12,0.4799733740742752,9836.776012,9836.776012
PL,2021-09-23,12,0.4723707877396617,9288.040804,9288.040804
PL,2021-09-24,12,0.46476820140504815,9723.947603999999,9723.947603999999
PL,2021-09-25,12,0.45716561507043463,9616.843907999999,9616.843907999999
PL,2021-09-26,12,0.44964868833411076,9599.805068,9599.805068
PL,2021-09-27,12,0.44238874039265574,9473.645776,9473.645776
PL,2021-09-28,12,0.43512879245120073,5717.1819319999995,5717.1819319999995
PL,2021-09-29,12,0.4278688445097457,9429.057288,9429.057288
PL,2021-09-30,12,0.42070945951091526,9227.555036,9227.555036
PL,2021-10-01,12,0.41385176333995854,8472.112908,8472.112908
PL,2021-10-02,12,0.4069940671690018,9067.170084,9067.170084
PL,2021-10-03,12,0.4001363709980451,8731.6656,8720.233087999999
PL,2021-10-04,12,0.39339171740608025,8739.3817,8735.415836
PL,2021-10-05,11,0.3869861915510909,8654.1875,8654.1875
PL,2021-10-06,11,0.3805806656961015,7620.225872,7620.225872
PL,2021-10-07,11,0.3741751398411121,4891.622652,4891.622652
PL,2021-10-08,11,0.36789206197181146,6825.078595999999,6825.078595999999
PL,2021-10-09,11,0.36197632805957697,8242.608612,8242.608612
PL,2021-10-10,11,0.3560605941473425,5690.938736,5690.938736
PL,2021-10-11,11,0.350144860235108,6323.506727999999,6323.506727999999
PL,2021-10-12,11,0.34435749500764296,3569.2458899999997,3569.2458899999997
PL,2021-10-13,11,0.33895523583448633,7301.591108,7301.591108
PL,2021-10-14,11,0.3335529766613297,3983.9217879999997,3983.9217879999997
PL,2021-10-15,11,0.3281507174881731,6609.196916,6609.196916
PL,2021-10-16,11,0.3228791394950931,7464.263408,7464.263408
PL,2021-10-17,11,0.3179996050422431,7328.045704,7328.045704
PL,2021-10-18,11,0.3131200705893931,7133.223692,7133.223692
PL,2021-10-19,11,0.3082405361365431,7050.69736,7041.125168
PL,2021-10-20,11,0.30349055083930576,6097.896419999999,6092.146339999999
PL,2021-10-21,11,0.29912921300890627,6742.526895999999,6742.290128
PL,2021-10-22,10,0.2947678751785068,4451.00586,4451.00586
PL,2021-10-23,10,0.2904065373481073,4235.390544,4235.390544
PL,2021-10-24,10,0.2861705790338763,6108.056304,6108.056304
PL,2021-10-25,10,0.28231075926815086,3608.6656479999997,3608.6656479999997
PL,2021-10-26,10,0.2784509395024254,3562.4071,3562.4071
PL,2021-10-27,10,0.2745911197366999,3913.3606959999997,3913.3606959999997
PL,2021-10-28,10,0.2708500476379825,2476.6080779999998,2476.6080779999998
PL,2021-10-29,10,0.2674652185402892,5329.9436399999995,5329.9436399999995
PL,2021-10-30,10,0.26408038944259593,6184.73954,6184.73954
PL,2021-10-31,10,0.26069556034490265,6135.297308,6135.297308
PL,2021-11-01,10,0.2574210421279529,5582.727304,5582.727304
PL,2021-11-02,10,0.25447745655323384,4349.800224,4349.800224
PL,2021-11-03,10,0.25153387097851476,4242.688072,4242.688072
PL,2021-11-04,10,0.24859028540379569,3852.2280439999995,3852.2280439999995
PL,2021-11-05,10,0.24574742751552026,4588.935904,4588.935904
PL,2021-11-06,10,0.24320675268657577,2858.039212,2858.039212
PL,2021-11-07,10,0.24058985761276294,3410.3005719999996,3410.3005719999996
PL,2021-11-08,10,0.23801954157748076,5124.9744279999995,5122.5391
PL,2021-11-09,9,0.23558456167562078,2837.503816,2837.503816
PL,2021-11-10,9,0.23340626945382317,2583.8745519999998,2583.8745519999998
PL,2021-11-11,9,0.23122797723202557,2632.454272,2632.454272
PL,2021-11-12,9,0.22904968501022796,2548.317072,2548.317072
PL,2021-11-13,9,0.2269652076253518,4375.4641839999995,4375.4641839999995
PL,2021-11-14,9,0.2251085662729991,3851.5600199999994,3851.5600199999994
PL,2021-11-15,9,0.2232519249206464,4384.9222199999995,4384.9222199999995
PL,2021-11-16,9,0.22139528356829372,3138.3598399999996,3138.3598399999996
PL,2021-11-17,9,0.2196209634254048,4600.250032,4600.250032
PL,2021-11-18,9,0.21804656621978505,3769.257772,3769.257772
PL,2021-11-19,9,0.2164721690141653,2926.4376819999998,2926.4376819999998
PL,2021-11-20,9,0.21489777180854555,4285.412012,4285.412012
PL,2021-11-21,9,0.21339490113694168,3713.2198599999997,3713.2198599999997
PL,2021-11-22,9,0.2120657377622335,4241.969311999999,4241.969311999999
PL,2021-11-23,9,0.21073657438752533,3541.152944,3541.152944
PL,2021-11-24,9,0.20940741101281715,4109.484931999999,4109.484931999999
PL,2021-11-25,9,0.20813987265610792,2261.337344,2261.337344
PL,2021-11-26,9,0.20702199505739619,1951.8942519999998,1951.8942519999998
PL,2021-11-27,9,0.20590411745868445,2895.2202439999996,2895.2202439999996
PL,2021-11-28,9,0.2047862398599727,3666.2256399999997,3666.2256399999997
PL,2021-11-29,9,0.20372107656934482,2519.558216,2519.558216
PL,2021-11-30,9,0.20278393374120626,2752.9691839999996,2752.9691839999996
PL,2021-12-01,9,0.2018467909130677,3871.816368,3865.1530399999997
PL,2021-12-02,9,0.20090964808492914,3946.7365279999995,3945.4173919999994
PL,2021-12-03,8,0.20001732401884087,3560.999176,3560.999176
PL,2021-12-04,8,0.19923384551773182,2951.7908839999996,2951.7908839999996
PL,2021-12-05,8,0.19845036701662278,2672.77248,2672.77248
PL,2021-12-06,8,0.19766688851551373,2796.0990119999997,2796.0990119999997
PL,2021-12-07,8,0.1969213210293539,2721.8806999999997,2721.8806999999997
PL,2021-12-08,8,0.19626782315092783,2974.009024,2974.009024
PL,2021-12-09,8,0.19561432527250178,3332.1121679999997,3332.1121679999997
PL,2021-12-10,8,0.19496082739407572,3286.158036,3286.158036
PL,2021-12-11,8,0.19433925968366683,3086.6809959999996,3086.6809959999996
PL,2021-12-12,8,0.19379523666701393,2909.5320239999996,2909.5320239999996
PL,2021-12-13,8,0.19325121365036102,2979.13336,2979.13336
PL,2021-12-14,8,0.19270719063370811,2894.8608639999998,2894.8608639999998
PL,2021-12-15,8,0.1921899636874802,3412.65134,3412.65134
PL,2021-12-16,8,0.19173781291228442,3360.1395799999996,3360.1395799999996
PL,2021-12-17,8,0.19128566213708864,3936.893744,3936.893744
PL,2021-12-18,8,0.19083351136189286,2807.979692,2807.979692
PL,2021-12-19,8,0.1904037804526516,2701.54402,2701.54402
PL,2021-12-20,8,0.19002849778929998,2820.8412679999997,2820.8412679999997
PL,2021-12-21,8,0.18965321512594835,3727.840284,3727.840284
PL,2021-12-22,8,0.18927793246259672,2502.0458399999998,2502.0458399999998
PL,2021-12-23,8,0.18783002715901934,3265.127964,3265.127964
PL,2021-12-24,8,0.1837771811577508,3484.299028,3484.299028
PL,2021-12-25,8,0.17972433515648226,3135.028176,3135.028176
PL,2021-12-26,8,0.17567148915521372,3595.3981839999997,3595.3981839999997
PL,2021-12-27,8,0.17262489267549955,3105.70911,3105.70911
PL,2021-12-28,8,0.172022045033846,3034.9091359999998,3034.9091359999998
PL,2021-12-29,8,0.17141919739219244,1714.2130039999997,1714.2130039999997
PL,2021-12-30,8,0.17081634975053892,3441.241076,3441.241076
PL,2021-12-31,8,0.17038933267103432,2702.846244,2702.846244
DL,2020-06-30,4,1.6234930744430631,1107.3977599999998,1107.3977599999998
DL,2020-07-01,16,1.6269478406214588,15288.536788,15288.536788
DL,2020-07-02,16,1.6407669053350418,16783.337732,16783.337732
DL,2020-07-03,16,1.6522956703880831,15461.956664,15461.956664
DL,2020-07-04,16,1.6569535364594994,14929.270943999998,14929.270943999998
DL,2020-07-05,16,1.6616114025309154,16457.029147999998,16457.029147999998
DL,2020-07-06,16,1.6662692686023315,16187.963456,16187.963456
DL,2020-07-07,16,1.6690186225233172,15072.443707999999,15072.443707999999
DL,2020-07-08,16,1.6660424399930118,15234.35074,15234.35074
DL,2020-07-09,16,1.6630662574627064,16567.215055999997,16567.215055999997
DL,2020-07-10,16,1.660090074932401,15697.071516,15697.071516
DL,2020-07-11,16,1.655910035631146,16479.923768,16479.923768
DL,2020-07-12,16,1.648118426017042,15819.489027999998,15819.489027999998
DL,2020-07-13,16,1.640326816402938,16080.961232,16080.961232
DL,2020-07-14,16,1.6325352067888341,16483.686687999998,16483.686687999998
