Year,DOY,Hour,SW,sitecode,date
2020,204,7,0,BM,2020-07-22
2020,204,8,0,BM,2020-07-22
2020,204,9,0,BM,2020-07-22
2020,204,10,0,BM,2020-07-22
2020,204,11,0,BM,2020-07-22
2020,204,12,0,BM,2020-07-22
2020,204,13,118.69,BM,2020-07-22
2020,204,14,261.55,BM,2020-07-22
2020,204,15,439.04,BM,2020-07-22
2020,204,16,573.68,BM,2020-07-22
2020,204,17,695.05,BM,2020-07-22
2020,204,18,726.16,BM,2020-07-22
2020,204,19,784.72,BM,2020-07-22
2020,204,20,795.66,BM,2020-07-22
2020,204,21,770.6,BM,2020-07-22
2020,204,22,673.25,BM,2020-07-22
2020,204,23,544.04,BM,2020-07-22
2020,205,0,362.32,BM,2020-07-23
2020,205,1,253.72,BM,2020-07-23
2020,205,2,135.94,BM,2020-07-23
2020,205,3,7.106,BM,2020-07-23
2020,205,4,0,BM,2020-07-23
2020,205,5,0,BM,2020-07-23
2020,205,6,0,BM,2020-07-23
2020,205,7,0,BM,2020-07-23
2020,205,8,0,BM,2020-07-23
2020,205,9,0,BM,2020-07-23
2020,205,10,0,BM,2020-07-23
2020,205,11,0,BM,2020-07-23
2020,205,12,0,BM,2020-07-23
2020,205,13,114.03,BM,2020-07-23
2020,205,14,254.16,BM,2020-07-23
2020,205,15,365.92,BM,2020-07-23
2020,205,16,478.86,BM,2020-07-23
2020,205,17,580.62,BM,2020-07-23
2020,205,18,542.5,BM,2020-07-23
2020,205,19,586.38,BM,2020-07-23
2020,205,20,594.6,BM,2020-07-23
2020,205,21,636.06,BM,2020-07-23
2020,205,22,555.55,BM,2020-07-23
2020,205,23,448.68,BM,2020-07-23
2020,206,0,360,BM,2020-07-24
2020,206,1,251.51,BM,2020-07-24
2020,206,2,133.87,BM,2020-07-24
2020,206,3,8.01,BM,2020-07-24
2020,206,4,0,BM,2020-07-24
2020,206,5,0,BM,2020-07-24
2020,206,6,0,BM,2020-07-24
2020,206,7,0,BM,2020-07-24
2020,206,8,0,BM,2020-07-24
2020,206,9,0,BM,2020-07-24
2020,206,10,0,BM,2020-07-24
2020,206,11,0,BM,2020-07-24
2020,206,12,0,BM,2020-07-24
2020,206,13,113.09,BM,2020-07-24
2020,206,14,255.1,BM,2020-07-24
2020,206,15,435.22,BM,2020-07-24
2020,206,16,570.41,BM,2020-07-24
2020,206,17,692.21,BM,2020-07-24
2020,206,18,796.24,BM,2020-07-24
2020,206,19,860.83,BM,2020-07-24
2020,206,20,872.95,BM,2020-07-24
2020,206,21,807.87,BM,2020-07-24
2020,206,22,705.41,BM,2020-07-24
2020,206,23,569.38,BM,2020-07-24
2020,207,0,422.13,BM,2020-07-25
2020,207,1,294.21,BM,2020-07-25
2020,207,2,155.51,BM,2020-07-25
2020,207,3,6.372,BM,2020-07-25
2020,207,4,0,BM,2020-07-25
2020,207,5,0,BM,2020-07-25
2020,207,6,0,BM,2020-07-25
2020,207,7,0,BM,2020-07-25
2020,207,8,0,BM,2020-07-25
2020,207,9,0,BM,2020-07-25
2020,207,10,0,BM,2020-07-25
2020,207,11,0,BM,2020-07-25
2020,207,12,0,BM,2020-07-25
2020,207,13,113.02,BM,2020-07-25
2020,207,14,258.15,BM,2020-07-25
2020,207,15,440.01,BM,2020-07-25
2020,207,16,577.58,BM,2020-07-25
2020,207,17,701.48,BM,2020-07-25
2020,207,18,804.82,BM,2020-07-25
2020,207,19,870.3,BM,2020-07-25
2020,207,20,882.59,BM,2020-07-25
2020,207,21,819.58,BM,2020-07-25
2020,207,22,715.41,BM,2020-07-25
2020,207,23,577.09,BM,2020-07-25
2020,208,0,425.54,BM,2020-07-26
2020,208,1,295.83,BM,2020-07-26
2020,208,2,155.22,BM,2020-07-26
2020,208,3,5.496,BM,2020-07-26
2020,208,4,0,BM,2020-07-26
2020,208,5,0,BM,2020-07-26
2020,208,6,0,BM,2020-07-26
2020,208,7,0,BM,2020-07-26
2020,208,8,0,BM,2020-07-26
2020,208,9,0,BM,2020-07-26
2020,208,10,0,BM,2020-07-26
2020,208,11,0,BM,2020-07-26
2020,208,12,0,BM,2020-07-26
2020,208,13,110.59,BM,2020-07-26
2020,208,14,255.93,BM,2020-07-26
2020,208,15,436.77,BM,2020-07-26
2020,208,16,574.23,BM,2020-07-26
2020,208,17,697.99,BM,2020-07-26
2020,208,18,799.73,BM,2020-07-26
2020,208,19,864.98,BM,2020-07-26
2020,208,20,877.23,BM,2020-07-26
2020,208,21,813.37,BM,2020-07-26
2020,208,22,709.75,BM,2020-07-26
2020,208,23,572.16,BM,2020-07-26
2020,209,0,423.73,BM,2020-07-27
2020,209,1,293.79,BM,2020-07-27
2020,209,2,152.96,BM,2020-07-27
2020,209,3,4.39,BM,2020-07-27
2020,209,4,0,BM,2020-07-27
2020,209,5,0,BM,2020-07-27
2020,209,6,0,BM,2020-07-27
2020,209,7,0,BM,2020-07-27
2020,209,8,0,BM,2020-07-27
2020,209,9,0,BM,2020-07-27
2020,209,10,0,BM,2020-07-27
2020,209,11,0,BM,2020-07-27
2020,209,12,0,BM,2020-07-27
2020,209,13,107.02,BM,2020-07-27
2020,209,14,251.09,BM,2020-07-27
2020,209,15,431.3,BM,2020-07-27
2020,209,16,567.97,BM,2020-07-27
2020,209,17,690.98,BM,2020-07-27
2020,209,18,791.75,BM,2020-07-27
2020,209,19,856.54,BM,2020-07-27
2020,209,20,868.71,BM,2020-07-27
2020,209,21,803.53,BM,2020-07-27
2020,209,22,700.92,BM,2020-07-27
2020,209,23,564.67,BM,2020-07-27
2020,210,0,394.67,BM,2020-07-28
2020,210,1,272.88,BM,2020-07-28
2020,210,2,140.9,BM,2020-07-28
2020,210,3,3.204,BM,2020-07-28
2020,210,4,0,BM,2020-07-28
2020,210,5,0,BM,2020-07-28
2020,210,6,0,BM,2020-07-28
2020,210,7,0,BM,2020-07-28
2020,210,8,0,BM,2020-07-28
2020,210,9,0,BM,2020-07-28
2020,210,10,0,BM,2020-07-28
2020,210,11,0,BM,2020-07-28
2020,210,12,0,BM,2020-07-28
2020,210,13,99.6,BM,2020-07-28
2020,210,14,237.05,BM,2020-07-28
2020,210,15,375.67,BM,2020-07-28
2020,210,16,495.54,BM,2020-07-28
2020,210,17,603.37,BM,2020-07-28
2020,210,18,706.14,BM,2020-07-28
2020,210,19,764.08,BM,2020-07-28
2020,210,20,774.94,BM,2020-07-28
2020,210,21,730.82,BM,2020-07-28
2020,210,22,637.25,BM,2020-07-28
2020,210,23,513.01,BM,2020-07-28
2020,211,0,406.38,BM,2020-07-29
2020,211,1,280.16,BM,2020-07-29
2020,211,2,143.41,BM,2020-07-29
2020,211,3,2.454,BM,2020-07-29
2020,211,4,0,BM,2020-07-29
2020,211,5,0,BM,2020-07-29
2020,211,6,0,BM,2020-07-29
2020,211,7,0,BM,2020-07-29
2020,211,8,0,BM,2020-07-29
2020,211,9,0,BM,2020-07-29
2020,211,10,0,BM,2020-07-29
2020,211,11,0,BM,2020-07-29
2020,211,12,0,BM,2020-07-29
2020,211,13,94.128,BM,2020-07-29
